metric,measure,k_fold_i,smcdc__energy_ratio_by_chunks__num_segments_10__segment_focus_6,"ae_spindle__fft_coefficient__attr_""abs""__coeff_36","vib_table__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","smcac__fft_coefficient__attr_""abs""__coeff_63","vib_table__fft_coefficient__attr_""imag""__coeff_95","smcac__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""","vib_spindle__fft_coefficient__attr_""imag""__coeff_63",vib_spindle__symmetry_looking__r_0.7000000000000001,"ae_spindle__fft_coefficient__attr_""abs""__coeff_49","vib_table__fft_coefficient__attr_""angle""__coeff_42"
accuracy,mean,0,0.008514830947936073,0.036361750674133955,0.06777639493880933,0.01624144368388297,-8.297033810415282e-05,0.10130678282513997,0.0,0.0,0.021032980709396343,1.03712922630154e-05
accuracy,std,0,0.001637515055562798,0.00252097081303175,0.001974499030807923,0.0014800092067499,0.00013759074011020122,0.003116154821334312,0.0,0.0,0.0020333023622627648,5.585111809929691e-05
f1,mean,0,0.03990729372491365,0.19600399090845275,0.38530561999718116,0.07890363268008768,-0.00036984805926891794,0.6437564378566579,0.0,0.0,0.10462708199674178,4.674900188938643e-05
f1,std,0,0.008015498693259085,0.016348593894321563,0.014092695508248043,0.007768082145836846,0.0006133236210180633,0.020276964766020533,0.0,0.0,0.011148854470768427,0.0002517510797433882
average_precision,mean,0,0.0006250164063855479,0.06703320951748033,0.11368107113690527,0.0019521495003528623,5.921189464667501e-17,0.5258474422327489,3.6223883304894085e-06,0.0,0.0014672828392239452,5.176396994355237e-06
average_precision,std,0,0.0002781197604087873,0.005632454952109087,0.005579368318464695,0.00041231562500200334,5.5387655747403e-17,0.014484755537182484,4.800625399794131e-06,0.0,0.000563092209627646,5.792748128341223e-06
balanced_accuracy,mean,0,0.038009259259259236,0.1628407498248073,0.2615638220561136,0.07254045653923023,-4.6718056528849414e-05,0.38227286589322335,0.0,0.0,0.09388888888888888,4.629629629629613e-05
balanced_accuracy,std,0,0.0073096852619150225,0.011248099835686665,0.007800937637146493,0.006659308098871872,7.747313222040346e-05,0.008247863045908091,0.0,0.0,0.009076435822656256,0.0002493131855154854
accuracy,mean,1,-0.002933914306463348,0.010094408133623804,0.012316630355846033,0.06185911401597676,-0.00043572984749457033,0.029048656499636883,-0.0003485838779956415,0.0,0.001742919389978211,-0.000668119099491656
accuracy,std,1,0.0021462613173061263,0.0023467017877196804,0.0026069449697817874,0.0029541569627300535,0.001326413949958571,0.003663472094710313,0.0007745703195917821,0.0,0.0020437541437139032,0.0006534333698882857
f1,mean,1,-0.009078051276474711,0.04387699543902574,0.08109954684200744,0.36563660669115644,-0.002067485397872807,0.23815713335465816,-0.0016306721310136885,0.0,0.007859358170692547,-0.0031115104939365866
f1,std,1,0.012205426640751174,0.0096898040732748,0.013889725488876119,0.013491597039874355,0.006169412719612367,0.02569884002751241,0.0035853097208936742,0.0,0.009309280220542426,0.0030422589632582327
average_precision,mean,1,0.046849644457390864,0.008245728362091224,0.12689665598011243,0.4809441521936675,0.0026814692376305477,0.44511694043268163,0.0008764601420834202,0.0,0.010398511638820307,0.00012935445086343183
average_precision,std,1,0.008089950854563611,0.003786918662988207,0.010032380739943133,0.01581889303373842,0.0005932567476583011,0.033350351720182456,0.00033743675372357676,0.0,0.004126145571807045,0.00021204500695004214
balanced_accuracy,mean,1,0.011554778554778529,0.005400155400155393,0.066010101010101,0.2509355089355089,-0.0002331002331002437,0.2036208236208236,-0.00018648018648019052,0.0,0.0009324009324009231,-0.00035742035742036084
balanced_accuracy,std,1,0.007127934646511207,0.0012554034039199676,0.009966207818824692,0.010530963130611266,0.0007095850851176909,0.018181646178268472,0.0004143680381032885,0.0,0.0010933370069518501,0.00034956400556960686
accuracy,mean,2,0.0011640211640211895,0.004867724867724895,0.005291005291005309,0.06578483245149912,0.0,0.049065255731922414,0.0,0.0,0.00486772486772488,0.0
accuracy,std,2,0.0018601477070102651,0.002452957834315859,0.0023184023598102235,0.004355225547949934,0.0,0.006130771239191411,0.0,0.0,0.0015600242954141794,0.0
f1,mean,2,0.009992616902314086,0.039406790067958365,0.04515953306274335,0.8365029583538258,0.0,0.48348686584971134,0.0,0.0,0.03922195174139911,0.0
f1,std,2,0.01567870070397167,0.01916943227404552,0.019405235252742212,0.05188138661181382,0.0,0.06236882968170962,0.0,0.0,0.01206228178889161,0.0
average_precision,mean,2,0.002680755559027844,0.0015532144383163156,0.02320547286738817,0.4653066100291746,4.4408920985006264e-17,0.3824338810484533,-4.008337340932755e-07,0.0,0.005415072026068057,0.00021645021645027389
average_precision,std,2,0.0024242989072715427,0.001635793964242409,0.010706005858003697,0.04557292961204633,5.4389598220420744e-17,0.048813456627488115,8.539640178928261e-05,0.0,0.0038280126151813082,0.00015305341584124542
balanced_accuracy,mean,2,0.006827988831542442,0.005240502580590608,0.021436881292833585,0.4592922413063711,0.0,0.2856858307245396,0.0,0.0,0.0025784753363228717,0.0
balanced_accuracy,std,2,0.004522938335061215,0.0047330006120956955,0.009946756683882335,0.020137938025084318,0.0,0.034905392444808205,0.0,0.0,0.0008263581609677193,0.0
accuracy,mean,3,0.024817798235519727,0.03864595320291519,0.06714614499424623,0.05504411200613728,0.0004027617951668394,0.24336401994629842,0.0006520905255082162,0.0,0.009666283084004579,0.0009589566551591414
accuracy,std,3,0.0035021748248602433,0.0039948343363388015,0.004109395013962981,0.003349491598882431,0.000368419116077822,0.006251014693877364,0.0004390304235619124,0.0,0.0015467468472309942,0.0004775565630221766
f1,mean,3,0.049538441714773535,0.07858904421892073,0.1410964531265454,0.10810391579951543,0.0007704050649050035,0.5812627086283053,0.0012560845393989495,0.0,0.018442002980993067,0.0018344925131683065
f1,std,3,0.007186356222414907,0.008644148068063809,0.009023177807602088,0.006787029254837641,0.0007046009818773182,0.01894111313382274,0.0008412152017115905,0.0,0.0029896761227749943,0.0009084458955625697
average_precision,mean,3,0.01010992229518871,0.02890521380247405,0.03853054092297638,0.03808750212124215,0.0001022448665704001,0.4789990929014661,0.00012629918204521234,0.0,0.0017126647210009413,9.304964175567883e-05
average_precision,std,3,0.0013129187414992556,0.003359196012844425,0.005579229857704078,0.003771061507408003,2.9559466122557804e-05,0.015496015603073485,3.253178007888051e-05,0.0,0.00038881586724488684,2.9872449310527797e-05
balanced_accuracy,mean,3,0.043777990494096516,0.06746995667906365,0.1145707247450835,0.07925627055685928,0.0005336206147272667,0.37887395300112997,0.001176973115401984,0.0,0.011976329019537857,0.0012897356370738856
balanced_accuracy,std,3,0.005947618833688958,0.007350192674390719,0.006408233844107945,0.005175646823836648,0.0005443357032194583,0.009680501469982186,0.0006497098396274941,0.0,0.002565378029322578,0.0005256162225195073
accuracy,mean,4,0.0009449047826719329,0.00835877307748224,0.04494839366186951,0.021558366041575853,-0.00023259194650382398,0.047928477976450105,-7.268498328244129e-05,0.0,0.0036197121674662563,0.0004506468963512663
accuracy,std,4,0.0006669614622447833,0.001596755253367356,0.0017908258286884215,0.0011185933189830262,0.00021756984368504056,0.002305890284148166,0.00019772453130883038,0.0,0.000995439355474345,0.0001371417521740993
f1,mean,4,0.007107518611091831,0.06485261231061581,0.3546568796617761,0.161092909654093,-0.0017038343187082935,0.4558654872066205,-0.0005303737509940176,0.0,0.02649573339959409,0.0032855140572181714
f1,std,4,0.00499512020949744,0.01319525570671838,0.01215672139739308,0.008234838988531694,0.0015937910661084581,0.022832712600880455,0.0014537870286508202,0.0,0.007198362320066624,0.0010151452468411296
average_precision,mean,4,0.0008955328470325652,0.01403228097191714,0.230252945669181,0.09552204781131719,1.9488494561736847e-05,0.2438049502819886,2.2032334089631494e-05,0.0,0.0035768369507797604,4.947074158992611e-05
average_precision,std,4,0.0004247947403858567,0.003918151401006722,0.013180968434720136,0.005022360793628642,3.532589634201203e-05,0.018938194493116234,3.488145119859027e-05,0.0,0.0013876130379290566,2.4342745861755728e-05
balanced_accuracy,mean,4,0.007436365255439588,0.05288913984566159,0.20929126974007758,0.09190188804494553,-0.00012466884837151562,0.2942482326774052,6.147429008578713e-05,0.0,0.012184356083374282,0.00044241250412359047
balanced_accuracy,std,4,0.00397623700520391,0.011344539467436847,0.007029172214250058,0.005676248093701155,0.00011661702935247049,0.011872145163257306,0.0005987731858993023,0.0,0.003959385441485225,0.0008130458015123766
accuracy,mean,5,0.01541010770505391,0.008782104391052243,0.016487158243579183,0.08461750897542121,0.0010494338580503452,0.05365921016293848,0.0018779342723005557,0.0,-0.01466445733222863,0.0016017674675504856
accuracy,std,5,0.0037942545143541772,0.003860017720995555,0.002750737828727048,0.005333952899423533,0.0007389720055377011,0.007844352683634417,0.0007984994363325679,0.0,0.0026299723108655086,0.001208841128320323
f1,mean,5,0.07272506797606244,0.043239811698138425,0.07746233528642618,0.5808369182815409,0.005523313666985175,0.3087347485327255,0.009833991701563875,0.0,-0.08886688039338254,0.008368452743113475
f1,std,5,0.016314584012791636,0.01769006508492221,0.011501748268492705,0.02098416650421682,0.003879458508382274,0.03723767436719398,0.00414578047273289,0.0,0.018024963480084016,0.006295430881161886
average_precision,mean,5,0.0842192734158639,0.00018045516760977208,0.03156390662411986,0.8195188748296774,0.00029220779220789916,0.6785025275805785,-2.0041686707217287e-06,0.0,0.022722009288513388,7.636937461656205e-06
average_precision,std,5,0.01985551687743026,0.0006961378680186408,0.0138409102163904,0.026618057266706265,9.740259740257138e-05,0.040022790365038065,0.00019094374522127982,0.0,0.007467643062824673,0.0002470691954953723
balanced_accuracy,mean,5,0.00804498269896189,0.004584775086505133,0.008607266435986112,0.451518646674356,0.0005478662053055731,0.20075932333717794,0.000980392156862686,0.0,-0.007655709342560594,0.0008362168396769657
balanced_accuracy,std,5,0.0019808240479349086,0.0020151563102256396,0.001436046954703095,0.018065304680520023,0.0003857868558321748,0.034799866691950426,0.0004168636763206679,0.0,0.0013730002505253755,0.0006310861772848828
accuracy,mean,6,0.016520627966411117,0.017342095655348673,0.013417305585980291,0.008798831690397965,0.0,0.0699707922599489,-0.000310332238043091,0.0,0.012577583059510773,-0.00029207740051114445
accuracy,std,6,0.0024698059849270096,0.00290934236044345,0.0020527562775455974,0.0011824851946477934,0.0,0.0031322343696421778,0.0003655528367013765,0.0,0.0019361318552028666,0.00036691769335966414
f1,mean,6,0.16548067279829776,0.161297418261971,0.12178533418777432,0.06689247420490758,0.0,0.7854720653507162,-0.002543644138790657,0.0,0.10415092855205389,-0.002364745839146587
f1,std,6,0.02696699106996168,0.029946045535142952,0.019554470732796037,0.008326202654296445,0.0,0.03642779242512135,0.0030002958604642403,0.0,0.01587108791641876,0.0030609912800325903
average_precision,mean,6,0.056869596043387365,0.1457485839768861,0.08713034050615108,0.007416307576975759,0.00019770332994547556,0.7889926716171481,0.0001378517379168757,0.0,0.03327880758250759,9.09514415015263e-05
average_precision,std,6,0.011198978743902034,0.0297117315307822,0.012266248727373552,0.004052689849298485,0.00011733531937722451,0.0317953211477886,6.42303691884709e-05,0.0,0.005450455025909948,9.017435826806823e-05
balanced_accuracy,mean,6,0.14229559748427675,0.11882971332455755,0.09122147871873629,0.005850884891034095,0.0,0.43801521135000726,-0.00016472868217053035,0.0,0.0531523328945444,0.0002875895860757723
balanced_accuracy,std,6,0.018979351653471196,0.022917208344972285,0.014091094610802872,0.0020652685730254594,0.0,0.01541723854682125,0.00019404054645832646,0.0,0.010584352145193756,0.0014818242981859044
